embed_dim,window,lr,share,epoch,loss,ppl,type
100,2,0.001,False,0,7.1621095204757435,1289.6285633099897,train
100,2,0.001,False,0,6.9437068864411,1036.6056812941513,eval
100,2,0.001,False,0,6.880589509832448,973.1999016319468,test
100,2,0.001,False,1,7.102562395192809,1215.076595307301,train
100,2,0.001,False,1,6.910028523089839,1002.2758298860854,eval
100,2,0.001,False,1,6.851715202989249,945.501243230009,test
100,2,0.001,False,2,7.083506079043373,1192.140940181963,train
100,2,0.001,False,2,6.90352731592515,995.7809621958412,eval
100,2,0.001,False,2,6.846234050290338,940.3329834884482,test
100,2,0.001,False,3,7.065002853587522,1170.2853109626656,train
100,2,0.001,False,3,6.90435500238456,996.6054977961934,eval
100,2,0.001,False,3,6.847328687536305,941.3628705693283,test
100,2,0.001,False,4,7.03995219731735,1141.3330465434967,train
100,2,0.001,False,4,6.910567564122817,1002.8162433241803,eval
100,2,0.001,False,4,6.853656703028186,947.3387170811471,test
100,2,0.001,False,5,7.00676480794357,1104.0768202141955,train
100,2,0.001,False,5,6.920771430520451,1013.1012303710028,eval
100,2,0.001,False,5,6.863775425943835,956.97323738199,test
100,2,0.001,False,6,6.967208207663843,1061.2558050940079,train
100,2,0.001,False,6,6.9339410276973945,1026.5316076928416,eval
100,2,0.001,False,6,6.876769920875287,969.489768137699,test
100,2,0.001,False,7,6.9239747200982045,1016.3516902862135,train
100,2,0.001,False,7,6.949395404142492,1042.5192347919356,eval
100,2,0.001,False,7,6.891971374380177,984.3400084198955,test
100,2,0.001,False,8,6.879334760924517,971.979545898298,train
100,2,0.001,False,8,6.9667966225567985,1060.819097887123,eval
100,2,0.001,False,8,6.909047899575069,1001.2934563870132,test
100,2,0.001,False,9,6.83484137664407,929.6808699293633,train
100,2,0.001,False,9,6.985736893672569,1081.1027820780416,eval
100,2,0.001,False,9,6.9275956318296235,1020.0384807881827,test
100,2,0.001,False,10,6.791385533445973,890.1460349203103,train
100,2,0.001,False,10,7.005787419337852,1102.9982352944494,eval
100,2,0.001,False,10,6.9471777060936235,1040.209803675987,test
100,2,0.001,False,11,6.749396469633458,853.5434676418525,train
100,2,0.001,False,11,7.026660442352295,1126.2631022264645,eval
100,2,0.001,False,11,6.967525959014893,1061.5930741408956,test
100,2,0.001,False,12,6.709036111831665,819.7800821855835,train
100,2,0.001,False,12,7.048134289535821,1150.7098473948995,eval
100,2,0.001,False,12,6.988450296993913,1084.0402334004714,test
100,2,0.001,False,13,6.670321723162117,788.6492903956316,train
100,2,0.001,False,13,7.070020591511446,1176.1722531642333,eval
100,2,0.001,False,13,7.009783654377379,1107.414894617444,test
100,2,0.001,False,14,6.633204100495678,759.9131120507939,train
100,2,0.001,False,14,7.092164609946456,1202.5079461060182,eval
100,2,0.001,False,14,7.031381130218506,1131.5924078846701,test
100,2,0.001,False,15,6.5976172907877775,733.3457561855072,train
100,2,0.001,False,15,7.114441469603894,1229.5966522704,eval
100,2,0.001,False,15,7.053118952389421,1156.4600675747058,test
100,2,0.001,False,16,6.563499276920901,708.7474640112349,train
100,2,0.001,False,16,7.136749678967046,1257.3349978951615,eval
100,2,0.001,False,16,7.074892627781835,1181.916588985465,test
100,2,0.001,False,17,6.5307982169975665,685.945526403296,train
100,2,0.001,False,17,7.15900676390704,1285.6333610891415,eval
100,2,0.001,False,17,7.096614418358638,1207.8707990653625,test
100,2,0.001,False,18,6.499473826359894,664.7917451090938,train
100,2,0.001,False,18,7.181140899658203,1314.4070096286453,eval
100,2,0.001,False,18,7.118211581789214,1234.241119171511,test
100,2,0.001,False,19,6.469491206993491,645.1553928930896,train
100,2,0.001,False,19,7.203091770994897,1343.5783860256315,eval
100,2,0.001,False,19,7.139623765287729,1260.9538852192916,test
100,2,0.001,False,20,6.440817477339405,626.9190825368154,train
100,2,0.001,False,20,7.224811712900798,1373.0800580273255,eval
100,2,0.001,False,20,7.160802117709456,1287.9436010609963,test
100,2,0.001,False,21,6.413419238591598,609.9757721499383,train
100,2,0.001,False,21,7.2462682910993985,1402.8600030138994,eval
100,2,0.001,False,21,7.1817111804567535,1315.1568044842002,test
100,2,0.001,False,22,6.387259386353573,594.2258026999698,train
100,2,0.001,False,22,7.267437504787071,1432.8740118208154,eval
100,2,0.001,False,22,7.202327736492815,1342.5522378386831,test
100,2,0.001,False,23,6.362293497990754,579.5740852399942,train
100,2,0.001,False,23,7.288300570319681,1463.0821779931698,eval
100,2,0.001,False,23,7.222633394701727,1370.0923080646264,test
100,2,0.001,False,24,6.338472079422514,565.930952902058,train
100,2,0.001,False,24,7.308838386161654,1493.4413790434367,eval
100,2,0.001,False,24,7.242612970286403,1397.74146030424,test
100,2,0.001,False,25,6.315744488926257,553.2137688411905,train
100,2,0.001,False,25,7.32903361787983,1523.9083823630342,eval
100,2,0.001,False,25,7.26225577551743,1425.468449992432,test
100,2,0.001,False,26,6.294061814324331,541.3477233938618,train
100,2,0.001,False,26,7.34887414820054,1554.4454670783903,eval
100,2,0.001,False,26,7.281555685503729,1453.247062871756,test
100,2,0.001,False,27,6.273374989881354,530.2639968952204,train
100,2,0.001,False,27,7.36835090786803,1585.0177862670835,eval
100,2,0.001,False,27,7.300508507366838,1481.0528624230835,test
100,2,0.001,False,28,6.2536320080191405,519.8976722202729,train
100,2,0.001,False,28,7.38745948380115,1615.5964458646824,eval
